track_name,valence,energy,danceability,acousticness,instrumentalness,user_preference
Lactose,0.6409999999999999,0.579,0.8,0.0294,0.912,6.69
Same - Original mix,0.928,0.792,0.7829999999999999,3.52e-05,0.878,7.27
Debauchery - Original mix,0.8370000000000001,0.417,0.81,0.00115,0.919,6.42
Grandma - Original mix,0.934,0.72,0.8190000000000001,0.000539,0.863,7.13
Among - Original mix,0.622,0.472,0.74,5.84e-05,0.847,6.0
Hazard - Original mix,0.944,0.731,0.813,8.109999999999999e-05,0.91,7.16
Strummer - Original mix,0.8959999999999999,0.83,0.787,0.000784,0.784,7.86
Big Racks - Original mix,0.695,0.865,0.777,0.000106,0.812,7.57
Rulet - Original mix,0.964,0.698,0.7959999999999999,0.000223,0.919,7.22
Head - Original mix,0.489,0.7090000000000001,0.815,3.74e-05,0.938,5.94
Defeding - Original mix,0.7659999999999999,0.573,0.799,1.35e-05,0.915,6.91
Jupiter - Original mix,0.503,0.581,0.812,7.42e-05,0.914,5.87
Koonra - Original mix,0.653,0.7090000000000001,0.8109999999999999,0.000851,0.929,6.52
Spouse - Original mix,0.0359,0.645,0.746,0.0315,0.966,4.94
Prop - Original mix,0.623,0.598,0.813,0.000256,0.8909999999999999,6.31
Particular - Original mix,0.585,0.504,0.812,9.1e-06,0.944,5.98
Tremor - Original mix,0.591,0.8240000000000001,0.8140000000000001,0.000428,0.738,7.25
Cent - Original mix,0.503,0.703,0.813,0.000133,0.927,6.17
Pantheon - Original mix,0.523,0.537,0.81,7.01e-05,0.932,5.85
Samplerup - Original mix,0.616,0.5870000000000001,0.8059999999999999,6.66e-06,0.8959999999999999,6.43
Sinisteraz,0.281,0.4539999999999999,0.812,3.85e-05,0.917,5.66
Tenon,0.316,0.695,0.802,0.0018,0.915,5.86
Strap - Original mix,0.923,0.789,0.8220000000000001,0.0016,0.774,7.58
Roxa - Original mix,0.502,0.629,0.809,0.00053,0.937,6.39
Catholic - Original mix,0.684,0.4629999999999999,0.8059999999999999,0.000452,0.938,6.16
Noboz,0.499,0.452,0.812,6.96e-05,0.897,5.61
Astou - Original mix,0.444,0.94,0.81,2.6600000000000003e-05,0.917,6.17
Reee,0.6729999999999999,0.5720000000000001,0.813,0.000728,0.89,6.21
Bathroom - Original mix,0.8079999999999999,0.855,0.759,0.000358,0.802,7.13
